drive_session,frame_num,cam_front_path,cam_left_path,cam_right_path,acceleration_x,acceleration_y,roll_angle,accelerator_pedal,brake_pressure,steering_angle_calculated
1,14120,1center/camera_lidar/20180810_150607/camera/cam_front_center/20180810150607_camera_frontcenter_000014179.png,1left/camera_lidar/20180810_150607/camera/cam_front_left/20180810150607_camera_frontleft_000014179.png,1right/camera_lidar/20180810_150607/camera/cam_front_right/20180810150607_camera_frontright_000014179.png,0.9600000000000364,-0.8799999999999955,-1.0999999999999943,5.2,0.0,41.25
1,14121,1center/camera_lidar/20180810_150607/camera/cam_front_center/20180810150607_camera_frontcenter_000014180.png,1left/camera_lidar/20180810_150607/camera/cam_front_left/20180810150607_camera_frontleft_000014180.png,1right/camera_lidar/20180810_150607/camera/cam_front_right/20180810150607_camera_frontright_000014180.png,0.8400000000000318,-0.9400000000000546,-1.1499999999999917,1.6,0.0,41.25
1,14122,1center/camera_lidar/20180810_150607/camera/cam_front_center/20180810150607_camera_frontcenter_000014181.png,1left/camera_lidar/20180810_150607/camera/cam_front_left/20180810150607_camera_frontleft_000014181.png,1right/camera_lidar/20180810_150607/camera/cam_front_right/20180810150607_camera_frontright_000014181.png,0.6399999999999864,-0.9800000000000182,-1.1749999999999972,0.8,0.0,41.25
1,14123,1center/camera_lidar/20180810_150607/camera/cam_front_center/20180810150607_camera_frontcenter_000014182.png,1left/camera_lidar/20180810_150607/camera/cam_front_left/20180810150607_camera_frontleft_000014182.png,1right/camera_lidar/20180810_150607/camera/cam_front_right/20180810150607_camera_frontright_000014182.png,0.4800000000000182,-1.2000000000000457,-1.2000000000000028,0.8,0.0,41.25
1,14124,1center/camera_lidar/20180810_150607/camera/cam_front_center/20180810150607_camera_frontcenter_000014183.png,1left/camera_lidar/20180810_150607/camera/cam_front_left/20180810150607_camera_frontleft_000014183.png,1right/camera_lidar/20180810_150607/camera/cam_front_right/20180810150607_camera_frontright_000014183.png,0.3199999999999363,-1.1000000000000227,-1.2249999999999943,0.8,0.0,41.1
1,14125,1center/camera_lidar/20180810_150607/camera/cam_front_center/20180810150607_camera_frontcenter_000014184.png,1left/camera_lidar/20180810_150607/camera/cam_front_left/20180810150607_camera_frontleft_000014184.png,1right/camera_lidar/20180810_150607/camera/cam_front_right/20180810150607_camera_frontright_000014184.png,0.2400000000000091,-1.0600000000000591,-1.25,0.8,0.0,40.8
1,14126,1center/camera_lidar/20180810_150607/camera/cam_front_center/20180810150607_camera_frontcenter_000014185.png,1left/camera_lidar/20180810_150607/camera/cam_front_left/20180810150607_camera_frontleft_000014185.png,1right/camera_lidar/20180810_150607/camera/cam_front_right/20180810150607_camera_frontright_000014185.png,0.0599999999999454,-1.1200000000000043,-1.2749999999999917,0.0,0.0,40.2
1,14127,1center/camera_lidar/20180810_150607/camera/cam_front_center/20180810150607_camera_frontcenter_000014186.png,1left/camera_lidar/20180810_150607/camera/cam_front_left/20180810150607_camera_frontleft_000014186.png,1right/camera_lidar/20180810_150607/camera/cam_front_right/20180810150607_camera_frontright_000014186.png,0.0399999999999636,-1.1399999999999864,-1.2999999999999972,0.0,0.0,39.3
1,14128,1center/camera_lidar/20180810_150607/camera/cam_front_center/20180810150607_camera_frontcenter_000014187.png,1left/camera_lidar/20180810_150607/camera/cam_front_left/20180810150607_camera_frontleft_000014187.png,1right/camera_lidar/20180810_150607/camera/cam_front_right/20180810150607_camera_frontright_000014187.png,0.0399999999999636,-0.9800000000000182,-1.2999999999999972,0.0,0.0,38.1
1,14129,1center/camera_lidar/20180810_150607/camera/cam_front_center/20180810150607_camera_frontcenter_000014188.png,1left/camera_lidar/20180810_150607/camera/cam_front_left/20180810150607_camera_frontleft_000014188.png,1right/camera_lidar/20180810_150607/camera/cam_front_right/20180810150607_camera_frontright_000014188.png,0.0,-0.82000000000005,-1.2999999999999972,0.0,0.0,35.4
